NIV5;NIV4;NIV3;NIV2;NIV1
01.11Z;01.11;01.1;01;A
01.12Z;01.12;01.1;01;A
01.13Z;01.13;01.1;01;A
01.14Z;01.14;01.1;01;A
01.15Z;01.15;01.1;01;A
01.16Z;01.16;01.1;01;A
01.19Z;01.19;01.1;01;A
01.21Z;01.21;01.2;01;A
01.22Z;01.22;01.2;01;A
01.23Z;01.23;01.2;01;A
01.24Z;01.24;01.2;01;A
01.25Z;01.25;01.2;01;A
01.26Z;01.26;01.2;01;A
01.27Z;01.27;01.2;01;A
01.28Z;01.28;01.2;01;A
01.29Z;01.29;01.2;01;A
01.30Z;01.30;01.3;01;A
01.41Z;01.41;01.4;01;A
01.42Z;01.42;01.4;01;A
01.43Z;01.43;01.4;01;A
01.44Z;01.44;01.4;01;A
01.45Z;01.45;01.4;01;A
01.46Z;01.46;01.4;01;A
01.47Z;01.47;01.4;01;A
01.49Z;01.49;01.4;01;A
01.50Z;01.50;01.5;01;A
01.61Z;01.61;01.6;01;A
01.62Z;01.62;01.6;01;A
01.63Z;01.63;01.6;01;A
01.64Z;01.64;01.6;01;A
01.70Z;01.70;01.7;01;A
02.10Z;02.10;02.1;02;A
02.20Z;02.20;02.2;02;A
02.30Z;02.30;02.3;02;A
02.40Z;02.40;02.4;02;A
03.11Z;03.11;03.1;03;A
03.12Z;03.12;03.1;03;A
03.21Z;03.21;03.2;03;A
03.22Z;03.22;03.2;03;A
05.10Z;05.10;05.1;05;B
05.20Z;05.20;05.2;05;B
06.10Z;06.10;06.1;06;B
06.20Z;06.20;06.2;06;B
07.10Z;07.10;07.1;07;B
07.21Z;07.21;07.2;07;B
07.29Z;07.29;07.2;07;B
08.11Z;08.11;08.1;08;B
08.12Z;08.12;08.1;08;B
08.91Z;08.91;08.9;08;B
08.92Z;08.92;08.9;08;B
08.93Z;08.93;08.9;08;B
08.99Z;08.99;08.9;08;B
09.10Z;09.10;09.1;09;B
09.90Z;09.90;09.9;09;B
10.11Z;10.11;10.1;10;C
10.12Z;10.12;10.1;10;C
10.13A;10.13;10.1;10;C
10.13B;10.13;10.1;10;C
10.20Z;10.20;10.2;10;C
10.31Z;10.31;10.3;10;C
10.32Z;10.32;10.3;10;C
10.39A;10.39;10.3;10;C
10.39B;10.39;10.3;10;C
10.41A;10.41;10.4;10;C
10.41B;10.41;10.4;10;C
10.42Z;10.42;10.4;10;C
10.51A;10.51;10.5;10;C
10.51B;10.51;10.5;10;C
10.51C;10.51;10.5;10;C
10.51D;10.51;10.5;10;C
10.52Z;10.52;10.5;10;C
10.61A;10.61;10.6;10;C
10.61B;10.61;10.6;10;C
10.62Z;10.62;10.6;10;C
10.71A;10.71;10.7;10;C
10.71B;10.71;10.7;10;C
10.71C;10.71;10.7;10;C
10.71D;10.71;10.7;10;C
10.72Z;10.72;10.7;10;C
10.73Z;10.73;10.7;10;C
10.81Z;10.81;10.8;10;C
10.82Z;10.82;10.8;10;C
